id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
1706544602906530000,1706544602906530000,"Just had a quite emotional, personal conversation w/ ChatGPT in voice mode, talking about stress, work-life balance. Interestingly I felt heard &amp; warm. Never tried therapy before but this is probably it? Try it especially if you usually just use it as a productivity tool.",,,,,,2023-09-26T05:41:54,,2815,470,211,,,2023-09-26 05:41:54,False,0,True,,,,,,,,,,,,,,,,,,,,
1677160500294193153,1677160500294193153,(3/3) Then check out: - https://t.co/m6orDlRhYi - https://t.co/moeqIVSx62,,,,,,2023-07-07T03:39:58,,58,13,3,,,2023-07-07 03:39:58,False,0,True,,,,,,,,,,,,,,,,,,,,
1677160432862363648,1677160432862363648,(2/3) If you are interested in ... - Defining evaluations for checking whether a model is safe enough to deploy - Detecting and stop harmful use cases. - Training models to say no to harmful requests and to be robust to jailbreak style vulnerabilities.,,,,,,2023-07-07T03:39:41,,83,5,4,,,2023-07-07 03:39:41,False,0,True,,,,,,,,,,,,,,,,,,,,
1677159299754385408,1677159299754385408,"(1/3) Alongside Superalignment team, my team is working on the practical side of alignment: Building systems to enable safe AI deployment. We are looking for strong research engineers and scientists to join the efforts.",,,,,,2023-07-07T03:35:11,,398,18,48,,,2023-07-07 03:35:11,False,0,True,,,,,,,,,,,,,,,,,,,,
1673535600690102273,1673535600690102273,Agent = LLM + memory + planning skills + tool use This is probably just a start of a new era :) https://t.co/Qtp6cHpz2Q,,,,,,2023-06-27T03:35:54,,3527,96,741,,,2023-06-27 03:35:54,False,0,True,,,,,,,,,,,,,,,,,,,,
1644139812390330369,1644139812390330369,"Coding calms me down when I’m depressed or anxious, so coding with copilot is like doing a therapy.",,,,,,2023-04-07T00:47:32,,989,44,56,,,2023-04-07 00:47:32,False,0,True,,,,,,,,,,,,,,,,,,,,
1637490086333001728,1637490086333001728,"🛠 New posts on Prompt Engineering: Steer a large pretrained language model to do what you want wo/ updating the model weights. https://t.co/bEw3ZcmDuY Most importantly this just introduces general ideas, but for your own problem, you always need tuning and experimentation.",,,,,,2023-03-19T16:23:54,,1642,32,339,,,2023-03-19 16:23:54,False,0,True,,,,,,,,,,,,,,,,,,,,
1635693602398699526,1635693602398699526,"GPT-4 is here! Our best model so far with strong steerability and safety improvement. API waitlist available. https://t.co/YGacDLq6E6 A true team effort - with extraordinary talents, strong belief &amp; steady execution, we make things happen. So proud to be part of it. Have fun!",,,,,,2023-03-14T17:25:19,,309,10,24,,,2023-03-14 17:25:19,False,0,True,,,,,,,,,,,,,,,,,,,,
1620851940870557697,1620851940870557697,"🚜 Cannot believe it is almost 3 years since my 2020 post on variations of Transformer. I spent some time and did a big refactoring of that old post with new section structure and new papers. Still missing a few items tho, will add them in slowly: https://t.co/tsHFbnd8hw",,,,,,2023-02-01T18:29:51,,733,12,109,,,2023-02-01 18:29:51,False,0,True,,,,,,,,,,,,,,,,,,,,
1613306584675016705,1613306584675016705,"👩🏼‍🔬https://t.co/GfO2Q1IzPZ was broken late last year. It has been fixed now and should run faster than before. Also, the backend has been updated to use our latest and cheaper `text-embedding-ada-002` model.",,,,,,2023-01-11T22:47:18,,97,6,5,,,2023-01-11 22:47:18,False,0,True,,,,,,,,,,,,,,,,,,,,
