id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
1536858588466909184,1536858588466909184,RT @TonyTassell: Op-ed here by @HowardMarksBook - co-founder of Oaktree Capital - on investor psychology and cycles https://t.co/zzBgUVkcGi,,,,,,2022-06-14T23:50:15,,0,0,11,,TonyTassell HowardMarksBook,2022-06-14 23:50:15,False,0,True,,,,,,,,,,,,,,,,,,,,
1535020886524186624,1535020886524186624,RT @nikkeimoney: こちらのインタビュー動画を日経電子版で公開中です。「投資で一番大切な20の教え」の著者、米資産運用大手 @Oaktree 会長のハワード・マークスさん @HowardMarksBook に相場観と投資についての考えをうかがいました。ぜひご視聴…,,,,,,2022-06-09T22:07:53,,0,0,6,,nikkeimoney Oaktree HowardMarksBook,2022-06-09 22:07:53,False,0,True,,,,,,,,,,,,,,,,,,,,
1532410225243762688,1532410225243762688,RT @Oaktree: Listen to @HowardMarksBook discuss his recent memo “Bull Market Rhymes” in the latest ep. of “Behind the Memo.” Learn why look…,,,,,,2022-06-02T17:14:03,,0,0,15,,Oaktree HowardMarksBook,2022-06-02 17:14:03,False,0,True,,,,,,,,,,,,,,,,,,,,
1529845847063613440,1529845847063613440,RT @Oaktree: New podcast of @HowardMarksBook’s latest memo “Bull Market Rhymes” is now available. Click here to listen and subscribe to pod…,,,,,,2022-05-26T15:24:07,,0,0,34,,Oaktree HowardMarksBook,2022-05-26 15:24:07,False,0,True,,,,,,,,,,,,,,,,,,,,
1529845831465021440,1529845831465021440,RT @Oaktree: Read the latest memo from @HowardMarksBook. He contextualizes the current market correction by discussing recurring investment…,,,,,,2022-05-26T15:24:04,,0,0,28,,Oaktree HowardMarksBook,2022-05-26 15:24:04,False,0,True,,,,,,,,,,,,,,,,,,,,
1522286378058346496,1522286378058346496,"RT @Oaktree: Oaktree Co-Founder and Co-Chairman, @HowardMarksBooks, has been elected as a member of the @AmericanAcad for Business, Corpora…",,,,,,2022-05-05T18:45:29,,0,0,5,,Oaktree HowardMarksBooks AmericanAcad,2022-05-05 18:45:29,False,0,True,,,,,,,,,,,,,,,,,,,,
1522028111591665665,1522028111591665665,"RT @CNBCClosingBell: ""I do think the worst of excesses have been corrected,"" Howard Marks of Oaktree Capital Management https://t.co/wVZSs5…",,,,,,2022-05-05T01:39:14,,0,0,47,,CNBCClosingBell,2022-05-05 01:39:14,False,0,True,,,,,,,,,,,,,,,,,,,,
1521178074770935808,1521178074770935808,"RT @BayesBSchool: “Successful investors need some form of superiority through legal, non-insider information, insight, or perception of fut…",,,,,,2022-05-02T17:21:29,,0,0,9,,BayesBSchool,2022-05-02 17:21:29,False,0,True,,,,,,,,,,,,,,,,,,,,
1519721553658740737,1519721553658740737,"RT @Oaktree: .@HowardMarksBook reflects on his memo “Lines in the Sand” (April 18, 2017). Following up on his classic memo “You Can’t Eat I…",,,,,,2022-04-28T16:53:48,,0,0,6,,Oaktree HowardMarksBook,2022-04-28 16:53:48,False,0,True,,,,,,,,,,,,,,,,,,,,
1511461746032054272,1511461746032054272,"RT @AMEXCAP: La filosofía de @Oaktree es que nuestras inversiones no responden a las expectativas de lo que pasará mañana, sino a lo que e…",,,,,,2022-04-05T21:52:16,,0,0,5,,AMEXCAP Oaktree,2022-04-05 21:52:16,False,0,True,,,,,,,,,,,,,,,,,,,,
